custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
5G6CNM,1,5/12/13,5/12/13,5/12/13,33,87.87878788,6.060606061,54.3,0,0,0,0,Monday,BOM
MCHTSP,1,6/1/13,6/7/13,6/7/13,45,6.666666667,0,30.05,0,1,0,0,Tuesday,BLR
HW9753,1,4/20/13,5/12/13,5/12/13,45,0,0,30.6,0,0,0,0,Monday,BOM
WFRT8R,1,5/31/13,6/26/13,6/26/13,45,0,0,50.76,0,1,0,0,Thursday,BOM
C6FSFE,1,4/15/13,4/15/13,4/15/13,41,19.51219512,0,35.64,0,1,0,0,Tuesday,BOM
2NCHMN,1,1/30/12,2/3/12,8/15/13,47,2.127659574,0,54.21,0.008944544,0,0,0,Friday,DEL
Y9LQGL,1,1/26/13,1/27/13,1/27/13,44,11.36363636,11.36363636,54.84,0,0,0,0,Wednesday,BOM
E35JP8,0,3/7/12,3/8/12,4/28/13,0,0,0,70.29,0.021634615,0,0,0,Monday,DEL
W2UHRZ,1,4/11/13,4/17/13,4/29/13,35,34.28571429,0,43.82,0.166666667,0,0,0,Wednesday,MAA
3VHDWT,1,7/12/11,7/12/11,10/31/13,53,13.20754717,3.773584906,77.13,0.070071259,1,0,0,Thursday,BOM
SGGWQC,1,6/22/13,6/23/13,6/30/13,34,20.58823529,0,48.99,0.285714286,1,0,0,Tuesday,BOM
A9YWGR,1,3/26/13,3/26/13,9/14/13,46,10.86956522,0,34.77,0.046511628,0,0,0,Saturday,MAA
LAQFJE,0,8/28/12,1/10/13,1/15/14,14,78.57142857,28.57142857,90.92,0.091891892,1,1,1,Tuesday,BLR
LWGQHD,1,11/22/10,4/3/11,8/22/11,47,2.127659574,0,65.43,0.085106383,0,0,0,Monday,BOM
DHPMW6,1,8/28/12,7/20/12,3/7/13,38,0,0,48.18,0.060869565,0,0,0,Sunday,BLR
KBM3RE,1,6/24/13,6/24/13,6/24/13,45,0,0,121.4,0,1,0,0,Friday,MAA
,1,#N/A,#N/A,#N/A,47,0,0,302.12,0,0,0,0,Friday,DEL
27XTYV,0,6/18/13,6/18/13,6/18/13,0,0,0,89.88,0,1,0,0,Friday,DEL
H3DNNC,1,2/25/13,4/15/13,4/15/13,45,0,0,46.12,0,0,0,0,Saturday,MAA
V8QM6S,0,4/5/13,4/17/13,4/17/13,0,0,0,85.2,0,0,0,0,Thursday,DEL
USEDFN,1,5/21/13,5/29/13,8/28/13,43,32.55813953,6.976744186,149.61,0.076923077,0,0,0,Thursday,DEL
JPSQ7U,1,6/5/13,6/10/13,9/10/13,47,2.127659574,2.127659574,71.6,0.02173913,1,0,0,Friday,MAA
Y7UBF5,1,3/23/13,9/20/13,12/22/13,32,21.875,0,73.2,0.021505376,0,0,0,Monday,DEL
AD46UK,1,2/2/13,2/17/13,10/9/13,36,72.22222222,25,65.85,0.025641026,0,0,0,Friday,BOM
CC8DSN,1,3/10/13,3/16/13,10/16/13,45,35.55555556,6.666666667,43.91,0.046728972,0,0,0,Thursday,BOM
JANJXL,0,5/13/11,11/11/11,11/11/11,0,0,0,51.19,0,0,0,0,Wednesday,BOM
VJSWYM,1,5/28/13,5/28/13,5/28/13,44,4.545454545,0,39.91,0,1,0,0,Thursday,MAA
L9JE6B,0,9/24/09,9/25/09,8/13/13,0,0,0,86.54,0.003526093,0,0,0,Friday,DEL
J2EPGV,1,8/26/11,8/30/11,1/14/14,55,23.63636364,10.90909091,144.99,0.140552995,1,1,0,Wednesday,DEL
HRSH96,1,5/5/13,5/5/13,5/28/13,41,41.46341463,0,79.41,0.086956522,0,0,0,Monday,MAA
8393JZ,1,4/27/13,5/13/13,12/16/13,42,85.71428571,4.761904762,36.48,0.013824885,0,0,0,Tuesday,BOM
AWAQ4B,1,8/11/10,10/5/10,1/13/14,60,56.66666667,16.66666667,163.98,0.040133779,1,1,0,Tuesday,DEL
LDRSPS,1,6/4/13,6/14/13,7/16/13,45,0,0,73.55,0.09375,1,0,0,Saturday,BLR
5M4GSC,1,6/2/13,6/4/13,7/31/13,36,47.22222222,5.555555556,52.83,0.035087719,1,0,0,Wednesday,DEL
TAUYF3,1,6/1/13,6/3/13,1/1/14,49,4.081632653,0,80.28,0.009433962,1,0,0,Tuesday,BLR
4A9CYE,1,6/16/13,11/19/13,11/19/13,46,13.04347826,6.52173913,40.02,0,1,0,0,Wednesday,DEL
W9BY8J,0,2/13/13,2/14/13,3/17/13,6,0,0,103.97,0.064516129,0,0,0,Thursday,BOM
DENEAM,1,4/20/13,4/30/13,4/30/13,45,13.33333333,0,93.06,0,0,0,0,Wednesday,BOM
8TP2QK,1,3/2/13,3/3/13,3/10/13,46,2.173913043,0,37.86,0.285714286,0,0,0,Tuesday,MAA
G9P4GY,0,8/28/12,8/28/12,1/7/13,0,0,0,55.95,0.090909091,0,0,0,Wednesday,MAA
Y7LQZK,1,3/11/13,7/19/13,7/19/13,43,20.93023256,0,147.03,0,0,0,0,Monday,BOM
9UVZKD,0,11/3/12,3/18/13,3/18/13,24,4.166666667,0,59.74,0,0,0,0,Tuesday,MAA
6UPU75,1,1/6/13,1/12/13,1/18/14,57,8.771929825,1.754385965,87.78,0.132075472,0,0,0,Monday,DEL
928CJX,1,8/28/12,9/25/12,10/23/12,46,13.04347826,10.86956522,55.16,0.071428571,0,0,0,Thursday,MAA
J4LEYP,1,5/14/11,7/10/11,2/24/13,35,80,0,44.01,0.010084034,0,0,0,Monday,BOM
SPXTDU,1,3/14/13,6/17/13,1/13/14,50,100,2,68.26,0.157142857,0,1,0,Tuesday,BOM
G9D4C2,1,11/30/10,3/10/11,7/1/11,46,13.04347826,0,136.52,0.053097345,0,0,0,Thursday,DEL
CR65SU,1,6/27/13,6/27/13,7/16/13,44,11.36363636,0,45.26,0.157894737,1,0,0,Wednesday,MAA
28M27Y,1,1/7/11,3/4/11,1/15/14,55,87.27272727,16.36363636,111.23,0.121183206,1,1,0,Thursday,DEL
ADGYU2,1,6/21/13,6/21/13,6/21/13,44,15.90909091,0,25.27,0,1,0,0,Tuesday,DEL
W8YVJP,0,6/9/13,6/10/13,6/10/13,7,14.28571429,0,51.07,0,1,0,0,Tuesday,BOM
CE86JJ,1,6/15/09,10/18/10,12/31/12,45,4.444444444,4.444444444,56.64,0.040993789,0,0,0,Tuesday,DEL
NVUBTT,1,12/19/10,11/9/11,4/1/12,45,0,0,72.25,0.020833333,0,0,0,Monday,BOM
HJQ6NZ,1,4/25/13,4/30/13,4/30/13,40,40,5,91.2,0,0,0,0,Wednesday,DEL
CGT4GX,1,3/3/13,3/3/13,1/7/14,50,14,0,222,0.064516129,1,0,1,Monday,MAA
DSMHHH,0,12/8/12,1/12/13,1/12/13,0,0,0,30.96,0,1,0,0,Tuesday,BOM
RFS9ZL,1,1/29/09,5/15/11,12/9/13,48,6.25,0,61.04,0.057507987,0,0,0,Monday,DEL
S6CQYN,1,1/21/13,4/22/13,6/6/13,31,96.77419355,9.677419355,34.69,0.066666667,1,0,0,Friday,BOM
KBYNXR,1,3/2/13,6/18/13,6/18/13,45,0,0,51.92,0,0,0,0,Wednesday,MAA
VV5NQV,0,8/28/12,7/26/12,11/25/13,1,0,0,100.77,0.039014374,1,1,1,Tuesday,MAA
9S28Y7,1,4/19/13,5/3/13,10/5/13,37,70.27027027,2.702702703,94.17,0.019354839,0,0,0,Tuesday,MAA
M4WFGX,1,3/21/13,4/22/13,4/22/13,41,21.95121951,0,50.64,0,0,0,0,Thursday,DEL
87BTNQ,1,5/19/13,9/20/13,9/20/13,34,11.76470588,2.941176471,40.02,0,1,1,0,Friday,BOM
M7XRYN,1,5/20/13,5/28/13,5/28/13,44,2.272727273,0,64.81,0,0,0,0,Thursday,DEL
ECC3N9,0,7/22/11,9/2/11,7/22/13,0,0,0,76.23,0.014513788,0,0,0,Friday,BOM
Z8AK89,1,10/12/11,10/12/11,11/30/11,47,21.27659574,4.255319149,46.37,0.142857143,1,0,0,Thursday,BOM
CD29B,0,4/10/11,8/17/11,1/19/14,5,0,0,107.34,0.023702032,1,0,0,Tuesday,DEL
J8X9UT,1,3/28/13,4/23/13,10/14/13,48,2.083333333,0,143.09,0.028735632,0,0,0,Tuesday,DEL
J2N5TJ,1,9/5/12,9/5/12,5/16/13,30,100,3.333333333,75.6,0.007905138,0,0,0,Thursday,DEL
Q5XDF5,1,7/13/12,7/22/12,2/2/13,45,0,0,108.65,0.015384615,0,0,0,Monday,BOM
3D59EG,1,4/29/13,10/9/13,10/21/13,37,2.702702703,0,51.18,0.166666667,0,0,0,Friday,BOM
FPVVKK,1,2/26/13,3/14/13,12/30/13,55,10.90909091,7.272727273,65.78,0.092783505,0,0,0,Wednesday,BOM
ANQPEX,1,4/27/13,6/21/13,7/19/13,45,0,0,46.67,0.071428571,0,0,0,Monday,BOM
NT523J,1,6/3/13,6/18/13,6/18/13,45,0,0,89.13,0,1,0,0,Saturday,BLR
HAB577,1,10/11/10,2/8/11,2/12/13,31,90.32258065,19.35483871,92.95,0.012244898,0,0,0,Tuesday,BOM
PTAFLZ,1,5/24/12,5/24/12,2/7/13,39,51.28205128,10.25641026,83.89,0.046332046,1,0,0,Thursday,DEL
HVAG5M,0,6/29/09,2/3/10,12/2/13,0,0,0,102.56,0.035765379,1,0,0,Friday,DEL
MVDVXU,1,7/10/10,4/18/13,4/18/13,45,20,0,90.52,0,0,0,0,Friday,DEL
DHRZE2,0,2/5/12,2/5/12,12/15/13,38,55.26315789,5.263157895,112.12,0.091310751,1,0,0,Monday,DEL
PDNQCL,1,5/1/13,5/1/13,5/1/13,44,6.818181818,0,51.02,0,0,0,0,Thursday,DEL
LUFS4H,1,4/17/13,11/21/13,11/21/13,48,2.083333333,0,35.8,0,0,0,0,Friday,BOM
LCZLGG,1,7/7/12,7/8/12,1/12/14,39,87.17948718,5.128205128,65.23,0.01084991,0,0,0,Tuesday,BOM
8WRBK2,1,9/5/10,12/21/10,1/13/14,51,52.94117647,29.41176471,127.7,0.109025916,1,1,0,Tuesday,DEL
ZKA8ZM,1,6/3/13,6/24/13,6/24/13,45,0,0,89.47,0,1,0,0,Friday,MAA
X6Y3W2,0,5/12/13,5/12/13,5/12/13,10,80,10,56.9,0,1,0,0,Monday,DEL
577EF9,1,8/28/12,8/16/12,12/10/13,30,53.33333333,16.66666667,60.08,0.006237006,1,0,0,Sunday,MAA
6S9T2W,0,3/10/13,3/11/13,3/13/13,0,0,0,44.64,1,1,0,0,Tuesday,MAA
JUNQMD,1,5/15/12,5/15/12,2/21/13,45,0,0,55.12,0.010638298,0,0,0,Wednesday,BOM
DZ5H9L,1,9/21/12,9/21/12,8/22/13,47,4.255319149,0,95.89,0.035820896,1,0,0,Friday,BOM
GLEKZC,1,4/22/13,4/29/13,4/29/13,45,2.222222222,0,54.93,0,0,0,0,Wednesday,DEL
XV9V7Z,1,2/10/13,2/10/13,7/22/13,54,5.555555556,0,238.99,0.037037037,0,0,0,Tuesday,MAA
MG44LU,1,8/5/08,9/21/10,1/17/14,56,51.78571429,0,204.67,0.082372323,1,0,0,Monday,DEL
ULXNQE,1,12/27/12,12/28/12,12/28/12,45,0,0,73.79,0,0,0,0,Friday,DEL
MCNC5F,0,12/13/09,1/11/10,10/29/13,0,0,0,107.64,0.056957462,1,0,0,Friday,DEL
PYDVN5,1,9/11/12,9/11/12,1/31/13,35,2.857142857,0,37.56,0.021126761,0,0,0,Sunday,MAA
MQC5KF,1,2/8/13,3/1/13,8/7/13,46,13.04347826,6.52173913,104.23,0.018867925,0,0,0,Saturday,MAA
RVRQMT,1,8/28/12,6/23/13,6/23/13,46,6.52173913,0,101.18,0,0,0,0,Wednesday,MAA
6D9XNE,0,9/22/11,4/29/13,4/29/13,0,0,0,45.98,0,0,0,0,Tuesday,BOM
BNMGA8,0,9/24/11,9/25/11,9/25/11,0,0,0,53.23,0,0,0,0,Tuesday,BOM
UDSZZK,1,5/29/13,6/23/13,6/23/13,45,8.888888889,0,99.69,0,1,0,0,Wednesday,MAA
GH2TAB,1,5/8/13,5/8/13,6/23/13,40,37.5,0,93.63,0.065217391,0,0,0,Saturday,BLR
Q9QSRS,1,6/16/13,6/16/13,9/21/13,37,48.64864865,0,81.5,0.020618557,1,0,0,Wednesday,MAA
FF7CM4,1,7/17/12,8/30/12,1/20/14,39,97.43589744,23.07692308,56.68,0.078740157,1,0,0,Tuesday,MAA
3EHMB9,1,5/4/12,9/17/12,6/5/13,48,0,0,97.4,0.030651341,0,0,0,Tuesday,BOM
ZQNBUA,0,8/28/12,7/31/12,1/13/14,15,93.33333333,33.33333333,83.98,0.080979284,1,1,1,Wednesday,MAA
7QZKMZ,0,4/28/13,4/28/13,4/28/13,16,6.25,0,51.75,0,0,0,0,Monday,DEL
W5ELUE,1,3/26/12,3/27/12,1/6/14,55,7.272727273,0,125.3,0.026153846,0,0,0,Tuesday,BOM
X5M2L4,1,3/16/13,7/8/13,7/8/13,37,40.54054054,21.62162162,44.35,0,1,0,0,Tuesday,DEL
K2ZUUV,0,7/26/11,7/27/11,9/1/13,0,0,0,16.24,0.050847458,0,0,0,Monday,BOM
T6L4WL,1,6/9/13,6/10/13,1/13/14,58,8.620689655,6.896551724,106.88,0.073732719,1,0,1,Monday,MAA
ESQENS,1,6/10/13,6/17/13,6/17/13,45,2.222222222,0,94.52,0,1,0,0,Tuesday,MAA
QY94E6,1,5/24/13,6/21/13,6/21/13,44,6.818181818,0,100.18,0,1,0,0,Thursday,MAA
V32RAK,1,9/7/12,9/9/12,6/23/13,42,14.28571429,4.761904762,54.17,0.006968641,0,0,0,Wednesday,BOM
J7NASX,1,10/26/11,1/10/12,1/20/14,43,86.04651163,58.13953488,32.41,0.028340081,1,0,0,Tuesday,BOM
H4H82B,1,2/8/10,2/8/10,5/5/13,44,18.18181818,6.818181818,66.51,0.005076142,0,0,0,Tuesday,DEL
68LDYZ,1,2/13/13,3/5/13,3/5/13,45,0,0,102.22,0,0,0,0,Thursday,MAA
PTSWS5,1,3/6/13,3/8/13,4/15/13,45,2.222222222,0,127.4,0.078947368,0,0,0,Tuesday,DEL
B2TMZG,0,4/20/10,9/16/10,6/27/13,0,0,0,60.91,0.112315271,0,0,0,Thursday,DEL
U56SJD,1,5/24/13,6/23/13,6/23/13,45,0,0,114.19,0,1,0,0,Tuesday,BLR
VR7GKE,1,3/25/13,3/27/13,9/2/13,45,15.55555556,0,69.41,0.031446541,1,0,0,Friday,BOM
6V3HS8,1,5/12/13,5/13/13,7/30/13,47,6.382978723,4.255319149,68.89,0.051282051,0,0,0,Wednesday,MAA
LPVZ2N,1,2/27/11,2/27/11,8/7/13,45,2.222222222,2.222222222,63.77,0.003363229,0,0,0,Tuesday,BOM
2V3YCZ,0,4/8/13,5/7/13,5/7/13,0,0,0,75.71,0,0,0,0,Wednesday,MAA
SGQLF3,1,8/2/12,8/14/12,1/12/14,46,30.43478261,17.39130435,57.76,0.009689922,0,0,0,Wednesday,DEL
X7NJDA,1,2/4/13,8/5/13,1/2/14,47,21.27659574,6.382978723,52.34,0.02,0,0,0,Tuesday,MAA
6B4D8J,1,10/16/10,5/8/12,8/11/13,45,26.66666667,4.444444444,67.68,0.030434783,1,0,0,Monday,DEL
EUSM55,0,10/9/12,4/28/13,5/5/13,3,100,0,45.22,0.285714286,0,0,0,Monday,DEL
CL9ZW6,1,12/2/12,2/24/13,2/24/13,45,4.444444444,0,89.48,0,0,0,0,Monday,DEL
F9ZP9M,1,4/5/13,6/1/13,11/17/13,50,20,4,61.18,0.100591716,1,0,0,Monday,MAA
7GDET2,1,12/28/12,4/21/13,11/19/13,45,48.88888889,17.77777778,69.89,0.08490566,0,0,0,Tuesday,BOM
99LTKD,1,1/7/11,7/21/11,4/1/13,40,25,7.5,51.49,0.003225806,0,0,0,Friday,DEL
U33RFE,1,2/6/12,11/10/12,10/6/13,43,6.976744186,4.651162791,12.52,0.009090909,0,0,0,Tuesday,BOM
9V53KE,1,2/24/13,3/21/13,3/21/13,44,4.545454545,0,97.84,0,0,0,0,Friday,DEL
EAXEJ7,1,3/24/13,3/24/13,5/27/13,44,4.545454545,2.272727273,57.63,0.046875,0,0,0,Wednesday,BOM
8SXCP3,1,9/5/12,9/5/12,9/5/12,44,6.818181818,4.545454545,140.95,0,0,0,0,Thursday,DEL
GHGMML,1,1/5/12,1/19/12,8/20/13,47,0,0,39.79,0.01208981,1,0,0,Thursday,DEL
GZJYH6,1,6/4/12,6/5/12,1/6/14,42,83.33333333,19.04761905,84.53,0.018965517,0,0,0,Tuesday,BOM
JPQPM9,1,4/23/13,8/12/13,8/12/13,42,0,0,60,0,0,0,0,Thursday,MAA
LT4FWX,1,4/3/12,4/3/12,6/4/12,32,93.75,21.875,47.78,0.129032258,1,0,0,Wednesday,BOM
HSU7PS,0,1/12/13,1/12/13,7/23/13,0,0,0,49.69,0.026041667,1,0,0,Wednesday,DEL
2XJ3UN,1,8/5/08,8/7/08,1/13/14,44,18.18181818,6.818181818,43.45,0.001511335,0,0,0,Thursday,DEL
H7XMDG,1,8/28/12,8/2/12,1/14/13,36,0,0,45.34,0.012121212,0,0,0,Sunday,MAA
3YN49V,1,3/10/13,3/17/13,3/17/13,45,0,0,94.46,0,0,0,0,Tuesday,MAA
TCXBNP,1,11/4/12,1/17/13,3/2/13,31,96.77419355,0,49.54,0.068181818,0,0,0,Thursday,MAA
VBRF2N,1,1/10/11,2/13/11,6/19/13,35,85.71428571,5.714285714,86.81,0.025670945,1,0,0,Monday,DEL
3WN7DA,0,6/13/13,6/23/13,12/9/13,23,52.17391304,0,30.23,0.071005917,1,0,0,Tuesday,BOM
QMT6DY,1,6/4/13,6/4/13,6/11/13,47,4.255319149,0,90.02,0.285714286,1,0,0,Wednesday,DEL
MASPDD,1,12/15/12,4/21/13,4/21/13,42,40.47619048,11.9047619,91.54,0,0,0,0,Tuesday,MAA
526QUZ,1,1/8/11,4/17/11,4/29/13,47,4.255319149,0,169.87,0.017496635,0,0,0,Monday,DEL
R2HG8G,1,8/20/12,8/20/12,9/22/13,43,41.86046512,16.27906977,124.35,0.118090452,1,0,0,Monday,DEL
KUPG72,1,11/10/12,12/3/12,1/6/14,54,3.703703704,1.851851852,64.29,0.047619048,0,0,0,Tuesday,MAA
EZCNMD,1,6/2/13,6/4/13,6/4/13,45,0,0,40.04,0,1,0,0,Tuesday,BLR
LUYLC6,0,7/29/11,7/29/11,3/3/13,5,20,0,70.24,0.013722127,0,0,0,Tuesday,DEL
M289TA,1,5/8/13,8/18/13,8/18/13,41,4.87804878,0,92.74,0,0,0,0,Monday,BOM
N4ECL3,1,11/9/10,4/11/11,4/8/13,39,69.23076923,10.25641026,173.25,0.041208791,1,0,0,Tuesday,DEL
9H5JZZ,1,6/14/13,6/17/13,7/29/13,42,28.57142857,2.380952381,88.2,0.047619048,1,0,0,Tuesday,MAA
N2X87J,1,6/9/13,6/16/13,7/13/13,30,93.33333333,0,57.13,0.074074074,1,0,0,Monday,DEL
PXD847,1,8/27/11,10/14/12,11/4/13,42,57.14285714,30.95238095,48.77,0.031088083,0,0,0,Monday,DEL
VSB8EB,1,1/26/12,1/30/12,1/8/13,32,100,0,37.96,0.075581395,0,0,0,Thursday,BOM
TQ97K6,1,1/28/13,1/29/13,1/29/13,44,18.18181818,2.272727273,51.59,0,1,0,0,Tuesday,BOM
Q8PJZC,1,4/20/13,9/21/13,9/21/13,23,34.7826087,4.347826087,102.23,0,0,0,0,Friday,MAA
H7TNDL,1,4/20/13,7/4/13,7/4/13,43,18.60465116,2.325581395,50.74,0,0,0,0,Monday,BOM
6S4M6G,0,4/22/13,4/22/13,10/1/13,0,0,0,64.97,0.043209877,0,0,0,Tuesday,BOM
4KSLPQ,1,6/10/09,4/16/11,11/12/13,49,4.081632653,4.081632653,84.14,0.034006376,1,0,0,Monday,DEL
LKF5HS,1,3/2/12,3/15/12,3/31/13,46,2.173913043,0,92.25,0.005249344,0,0,0,Friday,BOM
LTT8JH,0,4/20/13,4/29/13,4/29/13,0,0,0,78.92,0,0,0,0,Tuesday,BOM
M29EVC,1,2/21/11,12/4/11,1/12/14,53,26.41509434,0,370.35,0.045454545,0,0,0,Tuesday,DEL
24RX4H,1,8/7/11,9/9/11,9/25/13,39,56.41025641,10.25641026,62.56,0.016064257,0,0,0,Wednesday,DEL
C6EX8T,1,1/10/13,1/28/13,1/28/13,41,48.7804878,9.756097561,62.84,0,0,0,0,Tuesday,BOM
PKPWDB,0,4/3/13,6/3/13,7/9/13,34,5.882352941,0,49.93,0.083333333,1,0,0,Tuesday,MAA
FZQ3FW,1,2/17/13,2/17/13,2/17/13,45,0,0,53.72,0,0,0,0,Monday,BOM
NQJV3M,1,10/6/11,11/9/11,1/13/14,41,68.29268293,21.95121951,26.09,0.064070352,1,1,0,Friday,DEL
YN6QCK,1,12/30/12,1/4/13,1/13/14,60,0,0,111.07,0.093582888,0,0,1,Saturday,BLR
CR5VCU,1,10/23/11,11/8/11,1/14/14,52,38.46153846,3.846153846,164.72,0.041353383,0,0,0,Thursday,BOM
FWV4XS,0,3/18/13,3/18/13,6/5/13,0,0,0,53.09,0.025316456,0,0,0,Thursday,MAA
2SUJFL,0,11/29/12,12/1/12,1/1/13,0,0,0,75.75,0.064516129,1,0,0,Thursday,MAA
72TFBP,1,7/26/11,8/7/11,1/19/14,59,59.3220339,23.72881356,68.75,0.129464286,1,1,0,Monday,BOM
2W7ZXZ,1,6/24/13,6/29/13,6/29/13,45,0,0,60.37,0,1,0,0,Saturday,BLR
QW5PXJ,1,1/27/13,1/27/13,1/27/13,45,0,0,53.5,0,0,0,0,Tuesday,MAA
VPV5DU,0,2/4/11,1/6/14,1/6/14,2,100,50,40.02,0,0,0,0,Thursday,BOM
M926AZ,1,2/25/13,3/5/13,3/5/13,45,0,0,84.26,0,0,0,0,Saturday,MAA
VN9NQJ,0,5/13/11,6/22/11,6/12/13,0,0,0,75.58,0.004160888,0,0,0,Wednesday,DEL
S922WF,1,4/30/12,5/4/12,1/16/14,49,55.10204082,26.53061224,64.3,0.091639871,1,0,0,Tuesday,BOM
XD5U52,1,5/25/13,6/10/13,6/10/13,45,0,0,79.84,0,1,0,0,Tuesday,BLR
H98GHK,1,1/16/13,1/17/13,9/17/13,29,44.82758621,0,126.3,0.016460905,0,0,0,Friday,BOM
HQ4H5E,1,8/16/10,6/26/11,6/2/13,42,11.9047619,2.380952381,91.97,0.002828854,0,0,0,Tuesday,BOM
7TDH2Z,0,5/13/11,6/18/11,8/5/13,0,0,0,51.69,0.003851091,0,0,0,Tuesday,BOM
DAMRGT,1,2/9/12,2/9/12,1/7/14,52,17.30769231,0,202.94,0.063037249,1,0,1,Wednesday,BOM
5WUGND,1,5/28/13,9/2/13,12/2/13,39,15.38461538,0,53.39,0.032967033,1,0,0,Tuesday,BOM
MNTEBX,1,9/15/11,9/24/11,1/14/14,57,49.12280702,10.52631579,36.46,0.09489917,0,1,0,Thursday,BOM
3S2ED8,1,5/9/12,5/11/12,1/19/14,55,30.90909091,3.636363636,183.13,0.025889968,0,0,0,Friday,DEL
WV7C9K,0,5/4/13,5/5/13,5/5/13,0,0,0,78.07,0,1,0,0,Wednesday,MAA
XZVBBT,1,12/5/12,1/31/13,9/23/13,46,2.173913043,0,151.81,0.021276596,0,0,0,Monday,MAA
QQX9UE,1,1/28/11,1/16/12,12/1/13,45,66.66666667,6.666666667,110.74,0.037956204,1,0,0,Tuesday,BOM
7GAD4,1,4/20/11,2/11/13,2/11/13,45,0,0,73.45,0,0,0,0,Thursday,BOM
CCZQTJ,1,3/7/13,3/21/13,3/21/13,45,0,0,51.27,0,0,0,0,Friday,DEL
KMFMGY,0,7/22/12,7/23/12,9/2/13,24,4.166666667,0,85.33,0.041871921,0,0,0,Tuesday,BOM
WTTU4T,1,4/15/13,4/16/13,4/23/13,45,6.666666667,0,46.35,0.285714286,0,0,0,Wednesday,DEL
LYVCSA,1,1/16/13,1/21/13,3/25/13,45,0,0,85.41,0.047619048,0,0,0,Wednesday,BOM
38BUUH,1,3/23/13,4/22/13,4/22/13,45,0,0,30.78,0,0,0,0,Thursday,MAA
NUV5KZ,1,5/18/13,5/22/13,5/29/13,31,3.225806452,0,63,0.285714286,0,1,0,Thursday,DEL
2WTTDJ,0,3/3/13,4/27/13,4/27/13,0,0,0,82.98,0,0,0,0,Thursday,BLR
6J3QVV,1,4/11/12,5/2/12,9/13/12,46,6.52173913,0,88.63,0.089552239,1,0,0,Tuesday,DEL
UJFCJ7,0,7/11/10,4/13/11,2/16/12,10,60,0,73.81,0.025889968,0,0,0,Friday,DEL
J3BLNT,1,5/7/13,5/15/13,1/7/14,52,17.30769231,0,148.07,0.11814346,0,0,0,Tuesday,BOM
HMJQ3T,1,2/28/13,3/20/13,3/20/13,46,0,0,63.27,0,0,0,0,Thursday,MAA
EVLJD5,1,5/2/12,5/2/12,8/8/12,38,28.94736842,7.894736842,104.42,0.020408163,0,0,0,Friday,BOM
24LRX4,1,5/29/13,5/30/13,5/30/13,45,35.55555556,4.444444444,94.47,0,1,0,0,Friday,BOM
TEBUUG,1,12/6/10,3/8/11,1/17/14,45,24.44444444,6.666666667,53.52,0.008604207,0,0,0,Tuesday,DEL
KLP7EE,1,5/14/11,3/27/12,1/4/14,51,3.921568627,1.960784314,99.86,0.029320988,0,0,0,Friday,BOM
7HSJ5D,1,10/9/12,10/11/12,5/7/13,47,10.63829787,0,43.77,0.019230769,0,0,0,Wednesday,MAA
STSPFJ,1,2/8/10,6/2/10,1/19/14,69,17.39130435,4.347826087,83.48,0.172569706,1,1,0,Monday,DEL
T4MT8R,1,6/19/13,1/3/14,1/3/14,38,15.78947368,7.894736842,40.25,0,1,1,0,Monday,DEL
ZZYQAY,1,1/17/13,5/9/13,11/15/13,50,36,0,81.81,0.010526316,1,0,0,Wednesday,MAA
BN95X6,1,5/16/13,5/16/13,1/2/14,42,66.66666667,23.80952381,86.2,0.012987013,0,0,0,Saturday,MAA
FPE9CZ,1,4/12/13,5/14/13,1/2/14,54,75.92592593,18.51851852,83,0.141630901,0,0,1,Saturday,BLR
KLHHXC,1,4/29/13,8/4/13,11/17/13,41,51.2195122,4.87804878,58.2,0.066666667,1,0,0,Monday,BOM
3VPDBC,1,3/24/12,4/26/12,11/12/13,51,0,0,102.96,0.012389381,0,0,0,Wednesday,BOM
DAPLZA,1,4/20/13,10/6/13,10/6/13,27,88.88888889,0,49.36,0,0,0,0,Tuesday,BOM
5ZQ9WA,1,7/5/13,7/7/13,8/1/13,42,19.04761905,2.380952381,50.53,0.08,1,0,0,Tuesday,BOM
LEVT43,1,10/27/10,5/23/11,10/15/13,30,90,10,40.55,0.017123288,0,0,0,Wednesday,BOM
RLVR4X,1,8/28/12,6/23/13,1/19/14,64,21.875,6.25,71.97,0.123809524,1,1,0,Monday,MAA
YP7H5X,0,8/30/10,1/24/11,1/15/14,2,50,0,100.76,0.027598896,0,0,0,Monday,DEL
L7V76P,1,8/28/12,7/20/12,11/6/13,40,15,0,60.86,0.023206751,0,0,0,Sunday,MAA
QX2MNP,1,1/14/13,1/15/13,1/15/13,34,20.58823529,0,51.16,0,0,0,0,Tuesday,BOM
U4Y3VB,1,6/10/13,6/10/13,6/10/13,45,11.11111111,6.666666667,63.23,0,1,0,0,Wednesday,MAA
9VN4TM,1,5/11/13,5/19/13,8/19/13,37,72.97297297,0,58.94,0.032608696,0,0,0,Tuesday,BOM
GP9YXD,1,5/30/13,5/30/13,5/30/13,44,9.090909091,0,124.66,0,1,0,0,Friday,MAA
2HDRXX,1,8/28/12,4/9/13,9/8/13,48,12.5,2.083333333,93.18,0.039473684,0,0,0,Thursday,MAA
